DATAFLOW,LAST UPDATE,freq,unit,quant_inc,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,SI,2014,3.9,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,SK,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,TR,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,UK,2014,8.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,AT,2014,1.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,BE,2014,2.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,BG,2014,1.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,CZ,2014,0.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,DE,2014,3.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,DK,2014,5.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,EE,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,EL,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,ES,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,EU27_2020,2014,1.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,EU28,2014,2.4,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,FI,2014,8.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,HR,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,HU,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,IE,2014,7.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,IS,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,IT,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,LT,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,LU,2014,4.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,LV,2014,2.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,MT,2014,1.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,NO,2014,3.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,PL,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,PT,2014,1.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,RO,2014,0.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,SE,2014,2.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,SI,2014,0.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,SK,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,TR,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-44,UK,2014,8.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,AT,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,BE,2014,3.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,BG,2014,1.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,CZ,2014,0.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,DE,2014,3.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,DK,2014,6.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,EE,2014,0.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,EL,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,ES,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,EU27_2020,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,EU28,2014,2.8,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,FI,2014,8.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,HR,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,HU,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,IE,2014,7.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,IS,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,IT,2014,1.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,LT,2014,2.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,LU,2014,4.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,LV,2014,2.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,MT,2014,2.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-64,NO,2014,3.1,
