DATAFLOW,LAST UPDATE,freq,unit,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,ES,2014,2.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,ES,2014,2.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,ES,2014,1.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,ES,2014,2.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,ES,2014,1.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,ES,2014,1.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,ES,2014,3.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,ES,2014,2.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,EU27_2020,2014,1.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,EU27_2020,2014,4.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,EU27_2020,2014,2.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,EU27_2020,2014,2.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,EU27_2020,2014,3.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,EU27_2020,2014,2.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,EU27_2020,2014,2.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,EU27_2020,2014,2.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,EU27_2020,2014,2.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,EU27_2020,2014,2.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,EU27_2020,2014,3.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,EU27_2020,2014,2.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,EU28,2014,2.1,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,EU28,2014,4.5,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,EU28,2014,3.2,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,EU28,2014,3.2,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,EU28,2014,4.3,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,EU28,2014,3.8,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,EU28,2014,4.7,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,EU28,2014,4.2,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,EU28,2014,4.4,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,EU28,2014,3.2,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,EU28,2014,4.3,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,EU28,2014,3.7,e
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,FI,2014,3.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,FI,2014,5.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,FI,2014,4.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,FI,2014,6.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,FI,2014,7.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,FI,2014,6.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,FI,2014,4.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,FI,2014,5.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,FI,2014,4.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,FI,2014,4.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,FI,2014,6.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,FI,2014,5.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,HR,2014,0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,HR,2014,2.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,HR,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,HR,2014,0.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,HR,2014,2.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,HR,2014,1.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,HR,2014,0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,HR,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,HR,2014,0.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,HR,2014,0.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,HR,2014,2.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,HR,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,HU,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,HU,2014,9.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,HU,2014,4.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,HU,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,HU,2014,6.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,HU,2014,3.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,HU,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,HU,2014,2.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,HU,2014,1.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,HU,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,HU,2014,6.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,HU,2014,3.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,IE,2014,2.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,IE,2014,5.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,IE,2014,4.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,IE,2014,6.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,IE,2014,5.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,IE,2014,5.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,IE,2014,6.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,IE,2014,6.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,IE,2014,6.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,IE,2014,5.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,IE,2014,5.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,IE,2014,5.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,IS,2014,1.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,IS,2014,1.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,IS,2014,1.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,IS,2014,0.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,IS,2014,0.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,IS,2014,0.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,IS,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,IS,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,IS,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,IS,2014,1.0,
